('Epochs; batch_size; layer1; layer2; func1; func2; func_out', accuracy)
('30; 750; 64; 32; softmax; softmax; softmax', 0.39624152)
('20; 500; 64; 16; softmax; relu; sigmoid', 0.39624152)
('20; 500; 64; 16; softmax; relu; softmax', 0.39624152)
('30; 250; 64; 16; relu; sigmoid; sigmoid', 0.39624152)
('10; 500; 128; 64; softmax; sigmoid; softmax', 0.39614153)
('20; 1000; 128; 48; sigmoid; softmax; sigmoid', 0.39614153)
('30; 250; 128; 48; softmax; softmax; sigmoid', 0.39614153)
('10; 250; 128; 32; sigmoid; sigmoid; sigmoid', 0.39614153)
('20; 250; 128; 32; softmax; softmax; relu', 0.39614153)
('30; 250; 128; 32; softmax; relu; softmax', 0.39614153)
('30; 1000; 128; 16; softmax; sigmoid; softmax', 0.39614153)
('20; 1000; 112; 64; softmax; relu; relu', 0.39614153)
('30; 1000; 112; 64; softmax; relu; sigmoid', 0.39614153)
('10; 500; 112; 16; sigmoid; softmax; softmax', 0.39614153)
('10; 750; 96; 64; softmax; sigmoid; softmax', 0.39614153)
('10; 500; 96; 48; softmax; relu; softmax', 0.39614153)
('20; 500; 96; 48; softmax; relu; softmax', 0.39614153)
('30; 250; 80; 64; softmax; relu; sigmoid', 0.39614153)
('30; 250; 80; 64; relu; sigmoid; relu', 0.39614153)
('30; 750; 80; 64; softmax; sigmoid; sigmoid', 0.39614153)
('30; 750; 80; 64; softmax; softmax; softmax', 0.39614153)
('20; 500; 80; 48; sigmoid; softmax; softmax', 0.39614153)
('10; 250; 80; 32; sigmoid; softmax; softmax', 0.39614153)
('30; 1000; 80; 16; sigmoid; sigmoid; softmax', 0.39614153)
('30; 500; 64; 32; softmax; relu; softmax', 0.39614153)
('30; 250; 64; 16; sigmoid; softmax; sigmoid', 0.39614153)
('20; 250; 128; 48; softmax; relu; sigmoid', 0.39604157)
('20; 250; 112; 32; sigmoid; softmax; sigmoid', 0.39604157)
('20; 250; 112; 16; softmax; relu; sigmoid', 0.39604157)
('20; 1000; 96; 16; sigmoid; sigmoid; softmax', 0.39604157)
('10; 500; 80; 64; sigmoid; softmax; softmax', 0.39604157)
('30; 500; 80; 32; relu; sigmoid; softmax', 0.39604157)
('10; 500; 128; 64; sigmoid; softmax; softmax', 0.39594162)
('30; 750; 128; 64; softmax; softmax; softmax', 0.39594162)
('20; 500; 96; 48; sigmoid; softmax; softmax', 0.39594162)
('20; 750; 96; 48; softmax; relu; softmax', 0.39594162)
('20; 750; 96; 32; softmax; relu; sigmoid', 0.39594162)
('30; 250; 96; 16; softmax; softmax; softmax', 0.39594162)
('30; 1000; 80; 32; relu; sigmoid; sigmoid', 0.39594162)
('10; 500; 80; 16; sigmoid; softmax; sigmoid', 0.39594162)
('30; 500; 64; 64; softmax; softmax; softmax', 0.39594162)
('30; 1000; 64; 48; sigmoid; softmax; softmax', 0.39594162)
('30; 500; 128; 64; softmax; relu; sigmoid', 0.39584166)
('30; 750; 128; 16; softmax; relu; softmax', 0.39584166)
('10; 250; 112; 64; sigmoid; softmax; sigmoid', 0.39584166)
('10; 500; 96; 48; sigmoid; softmax; softmax', 0.39584166)
('20; 500; 80; 48; sigmoid; softmax; sigmoid', 0.39584166)
('20; 250; 80; 32; softmax; relu; sigmoid', 0.39584166)
('30; 750; 80; 32; softmax; sigmoid; sigmoid', 0.39584166)
('10; 750; 80; 16; sigmoid; softmax; softmax', 0.39584166)
('30; 250; 64; 48; sigmoid; sigmoid; sigmoid', 0.39584166)
('10; 1000; 128; 32; sigmoid; sigmoid; relu', 0.3957417)
('30; 250; 112; 64; softmax; softmax; softmax', 0.3957417)
('20; 500; 96; 16; relu; sigmoid; softmax', 0.3957417)
('30; 250; 80; 64; sigmoid; sigmoid; softmax', 0.3957417)
('20; 250; 80; 32; sigmoid; sigmoid; sigmoid', 0.3957417)
('10; 1000; 80; 16; sigmoid; sigmoid; softmax', 0.3957417)
('20; 250; 64; 64; softmax; sigmoid; sigmoid', 0.3957417)
('30; 250; 64; 48; sigmoid; sigmoid; softmax', 0.3957417)
('20; 250; 64; 16; relu; relu; softmax', 0.3957417)
('30; 500; 64; 16; sigmoid; softmax; softmax', 0.3957417)
('30; 500; 64; 16; relu; sigmoid; softmax', 0.3957417)
('30; 500; 128; 64; relu; sigmoid; softmax', 0.39564174)
('20; 250; 128; 32; sigmoid; sigmoid; sigmoid', 0.39564174)
('30; 750; 128; 32; relu; sigmoid; softmax', 0.39564174)
('20; 500; 128; 16; sigmoid; sigmoid; sigmoid', 0.39564174)
('20; 750; 112; 48; softmax; relu; softmax', 0.39564174)
('10; 250; 96; 48; softmax; sigmoid; softmax', 0.39564174)
('10; 500; 96; 48; sigmoid; softmax; sigmoid', 0.39564174)
('10; 750; 80; 48; softmax; relu; softmax', 0.39564174)
('10; 250; 64; 32; sigmoid; sigmoid; sigmoid', 0.39564174)
('10; 250; 128; 64; softmax; relu; softmax', 0.3955418)
('10; 750; 128; 64; softmax; relu; sigmoid', 0.3955418)
('30; 500; 128; 48; relu; sigmoid; sigmoid', 0.3955418)
('10; 750; 128; 32; relu; sigmoid; sigmoid', 0.3955418)
('20; 1000; 96; 32; softmax; relu; softmax', 0.3955418)
('30; 250; 96; 32; relu; sigmoid; softmax', 0.3955418)
('30; 1000; 64; 32; sigmoid; sigmoid; softmax', 0.3955418)
('20; 1000; 112; 32; relu; softmax; sigmoid', 0.39544183)
('30; 1000; 112; 32; softmax; sigmoid; softmax', 0.39544183)
('20; 250; 96; 16; sigmoid; relu; sigmoid', 0.39544183)
('10; 1000; 64; 64; sigmoid; relu; relu', 0.39544183)
('20; 250; 128; 16; relu; relu; softmax', 0.39534187)
('20; 750; 64; 32; relu; sigmoid; softmax', 0.39534187)
('30; 1000; 96; 16; softmax; sigmoid; softmax', 0.39524192)
('30; 250; 80; 64; sigmoid; sigmoid; sigmoid', 0.39524192)
('30; 750; 64; 48; softmax; relu; softmax', 0.39524192)
('10; 500; 96; 64; softmax; sigmoid; softmax', 0.39514193)
('20; 750; 96; 16; relu; relu; softmax', 0.39514193)
('20; 250; 64; 64; sigmoid; softmax; sigmoid', 0.39514193)
('30; 250; 64; 32; softmax; relu; sigmoid', 0.39514193)
('20; 750; 80; 16; sigmoid; sigmoid; softmax', 0.39504197)
('20; 750; 64; 64; softmax; relu; sigmoid', 0.39504197)
('20; 500; 128; 64; sigmoid; softmax; sigmoid', 0.39494202)
('10; 1000; 96; 64; sigmoid; softmax; sigmoid', 0.39494202)
('30; 500; 96; 64; sigmoid; softmax; softmax', 0.39494202)
('30; 750; 64; 16; relu; sigmoid; softmax', 0.39484206)
('20; 500; 80; 32; sigmoid; sigmoid; sigmoid', 0.3947421)
('30; 1000; 80; 32; softmax; sigmoid; softmax', 0.3947421)
('10; 250; 64; 48; softmax; relu; softmax', 0.39464214)
('10; 1000; 128; 48; sigmoid; softmax; sigmoid', 0.3945422)
('30; 250; 128; 32; relu; sigmoid; sigmoid', 0.3945422)
('30; 750; 128; 16; sigmoid; softmax; softmax', 0.3945422)
('30; 750; 96; 32; sigmoid; softmax; softmax', 0.3945422)
('30; 500; 80; 64; sigmoid; relu; sigmoid', 0.3945422)
('30; 750; 112; 64; softmax; relu; softmax', 0.39444223)
('20; 750; 112; 48; softmax; sigmoid; softmax', 0.39444223)
('30; 250; 80; 48; sigmoid; softmax; softmax', 0.39444223)
('10; 500; 80; 32; relu; softmax; softmax', 0.39444223)
('10; 750; 80; 32; sigmoid; softmax; softmax', 0.39444223)
('20; 500; 96; 16; softmax; sigmoid; softmax', 0.39424232)
('30; 250; 128; 16; sigmoid; softmax; softmax', 0.39414233)
('10; 250; 64; 32; softmax; relu; softmax', 0.39414233)
('10; 1000; 64; 16; relu; sigmoid; softmax', 0.39414233)
('30; 250; 128; 64; relu; sigmoid; softmax', 0.39404237)
('20; 750; 96; 64; softmax; relu; softmax', 0.39404237)
('20; 1000; 96; 64; softmax; sigmoid; softmax', 0.39404237)
('20; 250; 128; 16; sigmoid; relu; softmax', 0.39394242)
('20; 1000; 80; 16; sigmoid; sigmoid; softmax', 0.39394242)
('30; 750; 80; 16; sigmoid; softmax; softmax', 0.39394242)
('20; 1000; 112; 32; sigmoid; softmax; sigmoid', 0.39384246)
('10; 250; 112; 32; sigmoid; softmax; softmax', 0.39364254)
('30; 250; 80; 32; sigmoid; relu; sigmoid', 0.39364254)
('10; 250; 80; 32; sigmoid; relu; sigmoid', 0.39344263)
('20; 500; 80; 32; relu; sigmoid; softmax', 0.39344263)
('10; 500; 64; 48; relu; sigmoid; relu', 0.39344263)
('30; 500; 128; 16; softmax; relu; softmax', 0.39334267)
('30; 750; 80; 64; softmax; relu; softmax', 0.39334267)
('30; 750; 80; 32; softmax; softmax; sigmoid', 0.39334267)
('10; 500; 80; 16; sigmoid; sigmoid; softmax', 0.39334267)
('30; 750; 64; 64; sigmoid; softmax; softmax', 0.39334267)
('30; 250; 128; 48; sigmoid; sigmoid; sigmoid', 0.39324272)
('10; 500; 64; 64; softmax; relu; softmax', 0.39324272)
('20; 250; 64; 48; softmax; sigmoid; softmax', 0.39324272)
('10; 750; 64; 32; softmax; relu; sigmoid', 0.39324272)
('20; 500; 64; 32; relu; sigmoid; softmax', 0.39324272)
('20; 500; 64; 64; sigmoid; softmax; softmax', 0.39314273)
('20; 1000; 96; 48; softmax; sigmoid; softmax', 0.39294282)
('30; 250; 80; 32; sigmoid; softmax; softmax', 0.39294282)
('20; 750; 64; 48; softmax; sigmoid; softmax', 0.39294282)
('30; 750; 96; 32; softmax; softmax; sigmoid', 0.39284286)
('10; 750; 80; 48; softmax; relu; sigmoid', 0.3927429)
('30; 500; 80; 48; sigmoid; relu; sigmoid', 0.3927429)
('30; 250; 64; 64; sigmoid; relu; sigmoid', 0.3927429)
('20; 250; 112; 64; relu; sigmoid; softmax', 0.39264295)
('30; 1000; 80; 64; softmax; sigmoid; softmax', 0.39264295)
('10; 750; 128; 64; softmax; sigmoid; softmax', 0.39244303)
('30; 500; 80; 64; sigmoid; softmax; softmax', 0.39244303)
('10; 750; 128; 64; softmax; relu; softmax', 0.39234307)
('20; 250; 96; 48; sigmoid; sigmoid; sigmoid', 0.39224312)
('30; 250; 64; 64; sigmoid; sigmoid; softmax', 0.39214313)
('30; 250; 64; 64; softmax; sigmoid; sigmoid', 0.39214313)
('10; 1000; 128; 32; softmax; relu; sigmoid', 0.39204317)
('30; 750; 112; 64; sigmoid; softmax; softmax', 0.39194322)
('20; 500; 112; 48; sigmoid; softmax; softmax', 0.39194322)
('10; 750; 64; 32; sigmoid; softmax; softmax', 0.39194322)
('20; 250; 112; 32; relu; sigmoid; softmax', 0.39184326)
('30; 250; 112; 32; sigmoid; softmax; softmax', 0.39184326)
('30; 1000; 112; 48; sigmoid; softmax; softmax', 0.3917433)
('10; 250; 64; 16; sigmoid; relu; sigmoid', 0.3915434)
('20; 1000; 112; 16; softmax; relu; sigmoid', 0.39144343)
('30; 500; 112; 16; softmax; relu; softmax', 0.39144343)
('20; 250; 64; 48; sigmoid; softmax; softmax', 0.39134347)
('20; 500; 64; 48; softmax; relu; softmax', 0.39134347)
('10; 250; 96; 48; relu; sigmoid; softmax', 0.39124352)
('30; 250; 128; 48; sigmoid; relu; sigmoid', 0.39104357)
('30; 500; 112; 64; sigmoid; softmax; softmax', 0.39104357)
('30; 1000; 112; 48; softmax; sigmoid; softmax', 0.39094362)
('30; 500; 112; 48; sigmoid; softmax; softmax', 0.39064375)
('30; 250; 64; 32; sigmoid; sigmoid; sigmoid', 0.39064375)
('10; 750; 96; 32; softmax; relu; softmax', 0.3905438)
('30; 250; 128; 64; sigmoid; sigmoid; sigmoid', 0.39034387)
('20; 750; 96; 48; sigmoid; softmax; softmax', 0.39014393)
('20; 1000; 96; 48; sigmoid; relu; sigmoid', 0.39004397)
('20; 750; 64; 48; softmax; relu; softmax', 0.39004397)
('10; 250; 64; 48; sigmoid; sigmoid; softmax', 0.38984406)
('10; 750; 128; 64; sigmoid; sigmoid; sigmoid', 0.3897441)
('20; 750; 64; 32; softmax; relu; sigmoid', 0.3897441)
('30; 250; 128; 64; sigmoid; relu; softmax', 0.38944423)
('30; 250; 128; 32; sigmoid; relu; softmax', 0.38934427)
('10; 1000; 80; 32; sigmoid; sigmoid; softmax', 0.38934427)
('10; 250; 112; 48; softmax; relu; softmax', 0.3892443)
('30; 500; 80; 48; softmax; sigmoid; softmax', 0.38914433)
('30; 750; 128; 48; softmax; sigmoid; sigmoid', 0.38904437)
('30; 250; 80; 48; sigmoid; sigmoid; sigmoid', 0.38904437)
('30; 750; 80; 32; softmax; relu; sigmoid', 0.38904437)
('20; 250; 112; 48; sigmoid; sigmoid; sigmoid', 0.38884446)
('30; 500; 96; 64; sigmoid; sigmoid; sigmoid', 0.3887445)
('20; 750; 128; 16; sigmoid; sigmoid; sigmoid', 0.38864455)
('20; 500; 112; 48; sigmoid; softmax; sigmoid', 0.38864455)
('30; 750; 96; 32; sigmoid; softmax; sigmoid', 0.3885446)
('30; 250; 96; 64; sigmoid; relu; softmax', 0.38834468)
('10; 500; 112; 16; softmax; relu; sigmoid', 0.3882447)
('30; 250; 64; 64; sigmoid; sigmoid; sigmoid', 0.38814473)
('10; 500; 112; 32; sigmoid; sigmoid; sigmoid', 0.38804477)
('30; 250; 128; 48; softmax; sigmoid; softmax', 0.38794482)
('20; 750; 80; 48; softmax; sigmoid; softmax', 0.38764495)
('30; 750; 112; 32; sigmoid; softmax; sigmoid', 0.387545)
('10; 250; 80; 64; sigmoid; softmax; sigmoid', 0.38734508)
('20; 500; 64; 48; softmax; relu; sigmoid', 0.38734508)
('20; 1000; 128; 32; softmax; sigmoid; softmax', 0.3872451)
('30; 1000; 112; 16; relu; sigmoid; softmax', 0.38704517)
('30; 500; 80; 32; sigmoid; softmax; softmax', 0.38704517)
('30; 750; 112; 32; softmax; relu; sigmoid', 0.38694522)
('30; 250; 128; 64; sigmoid; sigmoid; softmax', 0.38684526)
('20; 500; 128; 32; relu; relu; softmax', 0.38684526)
('30; 250; 112; 48; sigmoid; relu; softmax', 0.38684526)
('20; 500; 112; 32; sigmoid; softmax; softmax', 0.38684526)
('30; 1000; 112; 16; sigmoid; sigmoid; softmax', 0.3867453)
('30; 500; 128; 32; softmax; relu; sigmoid', 0.38664535)
('30; 750; 128; 16; softmax; sigmoid; softmax', 0.38664535)
('20; 750; 96; 32; sigmoid; softmax; softmax', 0.38664535)
('20; 1000; 64; 64; sigmoid; softmax; softmax', 0.38664535)
('20; 1000; 64; 64; softmax; relu; softmax', 0.38664535)
('30; 1000; 64; 16; softmax; relu; sigmoid', 0.38664535)
('10; 250; 128; 48; softmax; relu; softmax', 0.3865454)
('30; 500; 112; 64; sigmoid; relu; sigmoid', 0.3862455)
('10; 250; 80; 16; softmax; sigmoid; softmax', 0.3862455)
('30; 250; 112; 64; sigmoid; sigmoid; sigmoid', 0.38614553)
('30; 250; 112; 48; sigmoid; sigmoid; softmax', 0.38614553)
('20; 250; 128; 48; sigmoid; softmax; softmax', 0.38604558)
('20; 500; 112; 64; relu; sigmoid; softmax', 0.38604558)
('20; 500; 80; 48; relu; sigmoid; softmax', 0.38584566)
('30; 250; 96; 64; sigmoid; sigmoid; sigmoid', 0.38544583)
('30; 1000; 112; 32; relu; sigmoid; softmax', 0.38514593)
('20; 500; 80; 32; softmax; relu; softmax', 0.38514593)
('30; 750; 112; 16; sigmoid; softmax; sigmoid', 0.38504598)
('10; 500; 80; 64; sigmoid; sigmoid; softmax', 0.38494602)
('10; 750; 112; 32; softmax; relu; softmax', 0.38484606)
('30; 750; 128; 48; sigmoid; softmax; softmax', 0.3845462)
('20; 500; 112; 48; softmax; relu; sigmoid', 0.38444623)
('20; 1000; 96; 16; softmax; relu; sigmoid', 0.38434625)
('20; 250; 128; 64; softmax; relu; softmax', 0.38394642)
('10; 500; 80; 48; sigmoid; softmax; sigmoid', 0.38384646)
('30; 500; 64; 48; softmax; relu; softmax', 0.38384646)
('30; 1000; 128; 16; softmax; relu; softmax', 0.3837465)
('20; 500; 64; 64; softmax; relu; softmax', 0.3835466)
('30; 250; 64; 32; sigmoid; relu; sigmoid', 0.3835466)
('30; 750; 64; 32; sigmoid; softmax; softmax', 0.38344663)
('20; 500; 80; 16; softmax; relu; sigmoid', 0.3832467)
('30; 250; 64; 32; sigmoid; relu; softmax', 0.38314673)
('30; 500; 112; 64; sigmoid; softmax; sigmoid', 0.38284686)
('10; 250; 96; 32; relu; sigmoid; softmax', 0.38284686)
('20; 750; 128; 32; sigmoid; softmax; sigmoid', 0.3827469)
('20; 1000; 112; 32; sigmoid; softmax; softmax', 0.3827469)
('10; 750; 96; 48; sigmoid; softmax; sigmoid', 0.3827469)
('30; 500; 112; 64; softmax; sigmoid; sigmoid', 0.382547)
('30; 750; 96; 64; softmax; relu; softmax', 0.38234705)
('20; 250; 80; 48; sigmoid; relu; sigmoid', 0.38234705)
('20; 750; 128; 48; sigmoid; softmax; softmax', 0.3822471)
('30; 1000; 80; 16; sigmoid; softmax; softmax', 0.38214713)
('10; 500; 64; 48; sigmoid; softmax; softmax', 0.38214713)
('10; 250; 64; 16; relu; relu; softmax', 0.38214713)
('30; 750; 128; 48; sigmoid; softmax; sigmoid', 0.38204718)
('10; 500; 128; 32; sigmoid; softmax; softmax', 0.38204718)
('20; 500; 128; 16; sigmoid; softmax; sigmoid', 0.38204718)
('20; 750; 96; 64; sigmoid; softmax; sigmoid', 0.38204718)
('30; 750; 96; 64; sigmoid; softmax; sigmoid', 0.38204718)
('30; 500; 96; 48; sigmoid; softmax; sigmoid', 0.38204718)
('20; 500; 96; 16; sigmoid; relu; relu', 0.38204718)
('30; 750; 80; 64; relu; softmax; sigmoid', 0.38204718)
('30; 500; 80; 48; sigmoid; softmax; sigmoid', 0.38204718)
('10; 1000; 80; 32; softmax; relu; sigmoid', 0.38204718)
('10; 250; 80; 16; relu; softmax; softmax', 0.38204718)
('30; 500; 80; 16; sigmoid; softmax; sigmoid', 0.38204718)
('30; 1000; 64; 48; softmax; relu; sigmoid', 0.38204718)
('30; 1000; 64; 32; sigmoid; softmax; sigmoid', 0.38204718)
('30; 750; 64; 16; softmax; softmax; softmax', 0.38204718)
('10; 750; 128; 32; sigmoid; relu; relu', 0.38194722)
('30; 750; 128; 16; sigmoid; softmax; sigmoid', 0.38194722)
('30; 750; 112; 64; softmax; softmax; softmax', 0.38194722)
('30; 500; 80; 48; sigmoid; softmax; softmax', 0.38194722)
('30; 750; 80; 32; sigmoid; softmax; softmax', 0.38194722)
('10; 750; 80; 16; softmax; relu; softmax', 0.38194722)
('20; 250; 64; 48; sigmoid; softmax; sigmoid', 0.38194722)
('30; 500; 64; 32; sigmoid; softmax; sigmoid', 0.38194722)
('30; 750; 64; 32; sigmoid; softmax; sigmoid', 0.38194722)
('20; 750; 128; 32; sigmoid; softmax; softmax', 0.38184726)
('30; 1000; 112; 16; relu; sigmoid; relu', 0.38184726)
('10; 250; 80; 32; sigmoid; softmax; sigmoid', 0.38184726)
('10; 1000; 64; 32; sigmoid; sigmoid; softmax', 0.38184726)
('20; 250; 128; 64; sigmoid; softmax; sigmoid', 0.3817473)
('10; 750; 128; 16; softmax; relu; softmax', 0.3817473)
('20; 1000; 112; 48; sigmoid; softmax; softmax', 0.3817473)
('10; 750; 96; 64; sigmoid; softmax; sigmoid', 0.3817473)
('20; 250; 128; 32; sigmoid; softmax; sigmoid', 0.38164735)
('10; 500; 128; 16; softmax; sigmoid; softmax', 0.38164735)
('20; 1000; 112; 64; sigmoid; softmax; sigmoid', 0.38164735)
('20; 250; 112; 48; sigmoid; softmax; sigmoid', 0.38164735)
('30; 500; 96; 64; sigmoid; softmax; sigmoid', 0.38164735)
('20; 250; 80; 48; softmax; softmax; sigmoid', 0.38164735)
('30; 250; 80; 48; sigmoid; softmax; sigmoid', 0.38164735)
('30; 1000; 80; 48; sigmoid; softmax; sigmoid', 0.38164735)
('10; 250; 128; 48; sigmoid; softmax; sigmoid', 0.3815474)
('30; 500; 64; 48; relu; sigmoid; softmax', 0.3815474)
('20; 500; 64; 32; sigmoid; softmax; softmax', 0.3815474)
('10; 500; 80; 32; sigmoid; softmax; softmax', 0.38144743)
('30; 250; 80; 16; sigmoid; softmax; sigmoid', 0.38144743)
('10; 250; 64; 32; sigmoid; softmax; softmax', 0.38144743)
('20; 1000; 64; 32; sigmoid; softmax; softmax', 0.38144743)
('10; 1000; 128; 32; softmax; relu; relu', 0.38134745)
('10; 250; 128; 16; sigmoid; softmax; softmax', 0.38134745)
('10; 500; 96; 32; sigmoid; softmax; sigmoid', 0.38134745)
('10; 750; 128; 48; sigmoid; softmax; sigmoid', 0.3812475)
('10; 750; 80; 32; relu; sigmoid; sigmoid', 0.3812475)
('10; 1000; 80; 32; sigmoid; softmax; softmax', 0.3812475)
('20; 500; 64; 48; sigmoid; softmax; sigmoid', 0.3812475)
('20; 750; 64; 32; sigmoid; softmax; sigmoid', 0.3812475)
('10; 500; 80; 16; sigmoid; softmax; softmax', 0.38114753)
('20; 500; 112; 16; sigmoid; softmax; softmax', 0.38104758)
('10; 750; 96; 32; softmax; relu; sigmoid', 0.38104758)
('20; 1000; 96; 16; softmax; relu; softmax', 0.38104758)
('20; 1000; 80; 64; sigmoid; softmax; softmax', 0.38104758)
('30; 750; 80; 16; sigmoid; softmax; sigmoid', 0.38104758)
('20; 500; 112; 32; relu; sigmoid; sigmoid', 0.38084766)
('30; 750; 96; 48; softmax; sigmoid; sigmoid', 0.38084766)
('30; 750; 96; 32; softmax; softmax; softmax', 0.38084766)
('10; 1000; 64; 16; softmax; relu; sigmoid', 0.38084766)
('20; 1000; 112; 64; softmax; relu; sigmoid', 0.3807477)
('10; 1000; 112; 48; relu; sigmoid; softmax', 0.3807477)
('30; 500; 128; 48; sigmoid; softmax; sigmoid', 0.38064775)
('20; 1000; 128; 48; sigmoid; softmax; softmax', 0.3805478)
('30; 1000; 128; 64; softmax; relu; sigmoid', 0.38044783)
('30; 1000; 112; 16; softmax; softmax; softmax', 0.38044783)
('20; 1000; 80; 48; relu; softmax; sigmoid', 0.38044783)
('30; 1000; 128; 16; sigmoid; softmax; sigmoid', 0.3802479)
('20; 750; 128; 32; relu; sigmoid; softmax', 0.38014793)
('10; 250; 112; 48; softmax; sigmoid; softmax', 0.38014793)
('10; 750; 96; 32; softmax; sigmoid; softmax', 0.38014793)
('10; 750; 64; 64; relu; softmax; sigmoid', 0.38014793)
('20; 1000; 96; 32; softmax; sigmoid; softmax', 0.37984806)
('10; 750; 112; 64; sigmoid; softmax; sigmoid', 0.3797481)
('10; 750; 80; 16; relu; sigmoid; softmax', 0.37964815)
('30; 1000; 64; 64; sigmoid; softmax; sigmoid', 0.37964815)
('20; 250; 96; 16; sigmoid; softmax; softmax', 0.37914833)
('10; 500; 80; 64; softmax; relu; sigmoid', 0.37914833)
('10; 1000; 64; 16; softmax; sigmoid; softmax', 0.37904838)
('20; 1000; 128; 32; sigmoid; softmax; sigmoid', 0.3787485)
('10; 1000; 96; 64; softmax; relu; sigmoid', 0.37844864)
('20; 750; 96; 16; sigmoid; softmax; sigmoid', 0.37844864)
('20; 1000; 80; 16; relu; relu; softmax', 0.37844864)
('10; 750; 112; 64; softmax; relu; sigmoid', 0.37834865)
('10; 1000; 112; 64; sigmoid; softmax; softmax', 0.37834865)
('20; 250; 128; 32; sigmoid; relu; sigmoid', 0.3782487)
('20; 750; 96; 48; sigmoid; softmax; sigmoid', 0.37814873)
('20; 500; 80; 32; sigmoid; softmax; softmax', 0.37784886)
('30; 500; 80; 64; softmax; relu; softmax', 0.377549)
('20; 1000; 96; 48; relu; sigmoid; sigmoid', 0.37714913)
('20; 750; 128; 16; sigmoid; softmax; sigmoid', 0.37684926)
('10; 500; 96; 64; sigmoid; softmax; sigmoid', 0.37684926)
('20; 500; 64; 16; sigmoid; relu; softmax', 0.37634945)
('10; 750; 128; 48; sigmoid; softmax; softmax', 0.37614954)
('20; 500; 96; 48; relu; sigmoid; sigmoid', 0.37614954)
('20; 750; 128; 48; softmax; relu; sigmoid', 0.37604958)
('30; 750; 80; 32; softmax; sigmoid; softmax', 0.37594962)
('20; 250; 80; 48; softmax; relu; sigmoid', 0.3752499)
('20; 1000; 96; 64; softmax; relu; sigmoid', 0.37504998)
('20; 750; 80; 48; relu; sigmoid; sigmoid', 0.37485006)
('30; 1000; 64; 64; softmax; sigmoid; sigmoid', 0.37485006)
('20; 500; 112; 64; sigmoid; softmax; sigmoid', 0.3747501)
('20; 750; 112; 48; sigmoid; softmax; softmax', 0.3747501)
('30; 750; 96; 48; sigmoid; softmax; sigmoid', 0.3745502)
('30; 1000; 96; 64; relu; sigmoid; sigmoid', 0.37435025)
('20; 250; 96; 64; relu; sigmoid; sigmoid', 0.3742503)
('10; 750; 96; 48; sigmoid; softmax; softmax', 0.3742503)
('20; 500; 96; 16; sigmoid; softmax; sigmoid', 0.37405038)
('10; 1000; 112; 32; softmax; relu; sigmoid', 0.37385046)
('20; 500; 64; 48; sigmoid; softmax; softmax', 0.3734506)
('20; 1000; 128; 16; softmax; softmax; sigmoid', 0.37335065)
('20; 500; 96; 64; sigmoid; softmax; sigmoid', 0.37335065)
('20; 750; 96; 48; relu; relu; relu', 0.37335065)
('30; 250; 96; 48; sigmoid; softmax; sigmoid', 0.37315074)
('30; 1000; 64; 32; sigmoid; softmax; relu', 0.37305078)
('10; 750; 80; 16; softmax; softmax; sigmoid', 0.372551)
('30; 750; 128; 48; softmax; softmax; softmax', 0.372451)
('20; 1000; 112; 64; softmax; relu; softmax', 0.37235105)
('30; 1000; 64; 64; softmax; relu; sigmoid', 0.37235105)
('30; 250; 96; 48; sigmoid; relu; softmax', 0.3722511)
('30; 1000; 80; 64; softmax; relu; sigmoid', 0.37195122)
('30; 500; 64; 16; softmax; sigmoid; sigmoid', 0.3717513)
('30; 500; 80; 16; softmax; sigmoid; softmax', 0.37165135)
('10; 1000; 128; 16; sigmoid; softmax; sigmoid', 0.3714514)
('20; 250; 64; 32; sigmoid; softmax; softmax', 0.37105158)
('30; 1000; 112; 16; sigmoid; softmax; softmax', 0.37095162)
('30; 1000; 64; 16; sigmoid; sigmoid; sigmoid', 0.37085167)
('30; 1000; 80; 16; relu; sigmoid; softmax', 0.3707517)
('20; 500; 128; 48; relu; sigmoid; relu', 0.37065175)
('30; 750; 112; 48; softmax; sigmoid; softmax', 0.37055176)
('30; 500; 64; 64; sigmoid; sigmoid; sigmoid', 0.3704518)
('10; 750; 128; 48; softmax; relu; sigmoid', 0.37035185)
('10; 750; 112; 32; softmax; relu; sigmoid', 0.37015194)
('20; 1000; 80; 48; softmax; relu; sigmoid', 0.37015194)
('10; 750; 64; 64; sigmoid; relu; relu', 0.37015194)
('20; 1000; 128; 16; sigmoid; sigmoid; softmax', 0.37005198)
('20; 250; 112; 32; sigmoid; softmax; softmax', 0.3697521)
('20; 750; 64; 16; sigmoid; sigmoid; softmax', 0.3697521)
('20; 750; 128; 64; softmax; relu; sigmoid', 0.36935225)
('10; 250; 96; 48; sigmoid; softmax; sigmoid', 0.36885247)
('10; 750; 128; 32; sigmoid; softmax; softmax', 0.3682527)
('30; 500; 80; 32; sigmoid; softmax; sigmoid', 0.3672531)
('10; 250; 80; 16; sigmoid; sigmoid; sigmoid', 0.36695322)
('20; 1000; 128; 32; sigmoid; softmax; softmax', 0.36635345)
('20; 1000; 96; 32; softmax; softmax; sigmoid', 0.36635345)
('20; 1000; 96; 32; softmax; relu; sigmoid', 0.36615354)
('20; 1000; 112; 64; relu; softmax; softmax', 0.3657537)
('30; 750; 80; 64; sigmoid; softmax; softmax', 0.36485407)
('30; 1000; 128; 32; sigmoid; softmax; sigmoid', 0.36465412)
