('Epochs; batch_size; layer1; layer2; func1; func2; func_out', accuracy)
('30; 500; 64; 64; relu; sigmoid; sigmoid', 0.7503998)
('30; 750; 112; 32; relu; relu; softmax', 0.7502999)
('20; 1000; 96; 48; sigmoid; relu; softmax', 0.7502999)
('20; 750; 80; 32; relu; relu; softmax', 0.7501999)
('30; 500; 80; 32; sigmoid; relu; softmax', 0.7496002)
('30; 750; 112; 64; sigmoid; sigmoid; softmax', 0.7495002)
('10; 1000; 80; 64; relu; relu; softmax', 0.74940026)
('10; 750; 112; 32; relu; relu; softmax', 0.7490004)
('20; 750; 96; 64; sigmoid; sigmoid; softmax', 0.7487005)
('20; 750; 80; 32; sigmoid; relu; softmax', 0.74810076)
('20; 1000; 128; 64; sigmoid; relu; softmax', 0.747501)
('30; 1000; 64; 32; relu; relu; softmax', 0.7473011)
('20; 250; 96; 64; relu; relu; softmax', 0.7470012)
('20; 750; 96; 64; relu; sigmoid; sigmoid', 0.7467013)
('10; 750; 64; 48; sigmoid; relu; softmax', 0.74660134)
('20; 750; 64; 48; relu; relu; softmax', 0.7465014)
('10; 750; 80; 48; sigmoid; relu; sigmoid', 0.7464014)
('30; 1000; 112; 32; sigmoid; relu; softmax', 0.7463015)
('30; 750; 80; 64; sigmoid; relu; sigmoid', 0.74610156)
('20; 750; 128; 64; sigmoid; sigmoid; softmax', 0.7460016)
('10; 250; 80; 32; relu; relu; softmax', 0.7460016)
('30; 250; 64; 16; relu; relu; softmax', 0.7458017)
('10; 250; 112; 64; relu; relu; softmax', 0.74570173)
('10; 250; 96; 32; relu; relu; softmax', 0.74570173)
('30; 250; 96; 64; relu; sigmoid; sigmoid', 0.7456018)
('30; 750; 96; 32; sigmoid; relu; softmax', 0.7456018)
('30; 750; 64; 16; relu; relu; softmax', 0.7455018)
('10; 1000; 112; 32; relu; relu; softmax', 0.745102)
('20; 750; 96; 48; sigmoid; relu; softmax', 0.74480206)
('30; 1000; 128; 48; relu; relu; softmax', 0.7445022)
('10; 750; 128; 64; sigmoid; relu; softmax', 0.7444022)
('30; 750; 80; 48; sigmoid; sigmoid; sigmoid', 0.74410236)
('10; 1000; 112; 48; relu; relu; softmax', 0.7440024)
('10; 500; 96; 32; sigmoid; relu; softmax', 0.7440024)
('20; 1000; 112; 48; relu; relu; softmax', 0.7436026)
('10; 250; 80; 48; relu; relu; softmax', 0.74320275)
('10; 750; 112; 64; sigmoid; relu; softmax', 0.7431027)
('10; 1000; 128; 64; sigmoid; relu; softmax', 0.7430028)
('20; 1000; 80; 32; sigmoid; relu; softmax', 0.74260294)
('10; 1000; 128; 48; sigmoid; relu; softmax', 0.742503)
('30; 250; 64; 32; relu; relu; softmax', 0.74240303)
('30; 1000; 96; 64; relu; relu; softmax', 0.7418033)
('30; 750; 64; 32; relu; relu; softmax', 0.7413035)
('10; 750; 96; 64; relu; relu; softmax', 0.74120355)
('20; 500; 96; 64; sigmoid; relu; softmax', 0.74120355)
('30; 750; 96; 64; sigmoid; relu; softmax', 0.7410036)
('20; 1000; 128; 64; relu; sigmoid; softmax', 0.7407037)
('30; 750; 64; 32; sigmoid; sigmoid; softmax', 0.7405038)
('30; 750; 64; 64; sigmoid; relu; sigmoid', 0.740004)
('20; 250; 96; 16; relu; relu; softmax', 0.7398041)
('20; 750; 128; 64; relu; relu; softmax', 0.73970413)
('10; 750; 96; 32; relu; relu; softmax', 0.73970413)
('20; 750; 96; 32; sigmoid; sigmoid; softmax', 0.7395042)
('30; 750; 80; 64; sigmoid; relu; softmax', 0.73920435)
('10; 750; 80; 32; relu; relu; softmax', 0.7390044)
('30; 500; 96; 48; relu; relu; softmax', 0.73880446)
('30; 750; 64; 48; sigmoid; sigmoid; softmax', 0.7385046)
('30; 750; 64; 48; relu; sigmoid; sigmoid', 0.7382047)
('10; 500; 128; 32; relu; relu; softmax', 0.7378049)
('20; 750; 64; 64; relu; sigmoid; softmax', 0.7378049)
('20; 250; 64; 64; relu; sigmoid; sigmoid', 0.737605)
('30; 750; 128; 48; sigmoid; relu; softmax', 0.73740506)
('30; 500; 64; 48; relu; relu; softmax', 0.73740506)
('20; 1000; 96; 64; relu; relu; softmax', 0.7370052)
('30; 1000; 64; 16; relu; relu; softmax', 0.73680526)
('20; 750; 80; 64; relu; sigmoid; softmax', 0.7367053)
('30; 750; 64; 64; sigmoid; sigmoid; softmax', 0.7367053)
('20; 500; 96; 64; relu; relu; softmax', 0.73660535)
('30; 500; 128; 48; sigmoid; relu; softmax', 0.7363055)
('10; 1000; 128; 64; sigmoid; relu; sigmoid', 0.7358057)
('30; 750; 96; 64; relu; sigmoid; sigmoid', 0.73570573)
('30; 750; 80; 64; relu; sigmoid; softmax', 0.73570573)
('30; 750; 112; 64; sigmoid; relu; softmax', 0.7355058)
('30; 1000; 96; 32; sigmoid; relu; softmax', 0.735006)
('20; 500; 96; 48; relu; relu; softmax', 0.73480606)
('10; 750; 128; 48; sigmoid; relu; sigmoid', 0.73460615)
('30; 500; 96; 64; relu; sigmoid; softmax', 0.73460615)
('30; 750; 80; 48; relu; relu; softmax', 0.73440623)
('10; 750; 112; 48; sigmoid; relu; softmax', 0.73410636)
('30; 750; 96; 16; sigmoid; relu; softmax', 0.7335066)
('20; 750; 80; 64; sigmoid; sigmoid; softmax', 0.7335066)
('30; 750; 96; 64; relu; sigmoid; softmax', 0.7332067)
('10; 500; 96; 48; relu; relu; softmax', 0.73310673)
('20; 750; 80; 48; sigmoid; relu; sigmoid', 0.7329068)
('30; 750; 96; 64; sigmoid; sigmoid; softmax', 0.73280686)
('10; 250; 128; 64; relu; relu; softmax', 0.7327069)
('30; 750; 96; 48; relu; relu; softmax', 0.7327069)
('30; 750; 128; 64; sigmoid; sigmoid; softmax', 0.732507)
('30; 500; 96; 32; sigmoid; sigmoid; sigmoid', 0.732507)
('30; 750; 96; 16; sigmoid; relu; sigmoid', 0.732507)
('10; 750; 64; 32; relu; relu; softmax', 0.7323071)
('30; 1000; 96; 32; sigmoid; relu; sigmoid', 0.73210716)
('20; 1000; 128; 32; sigmoid; relu; softmax', 0.7320072)
('20; 750; 112; 64; relu; relu; softmax', 0.7313075)
('20; 500; 96; 48; relu; sigmoid; softmax', 0.73080766)
('10; 500; 80; 32; relu; relu; softmax', 0.73060775)
('30; 750; 64; 48; relu; relu; softmax', 0.7303079)
('30; 500; 80; 48; relu; relu; softmax', 0.73010796)
('30; 250; 80; 64; relu; relu; softmax', 0.7292083)
('30; 750; 128; 64; relu; sigmoid; softmax', 0.7290084)
('10; 750; 96; 32; sigmoid; sigmoid; softmax', 0.7280088)
('20; 750; 128; 48; sigmoid; sigmoid; softmax', 0.72770894)
('30; 1000; 64; 64; relu; sigmoid; softmax', 0.727509)
('30; 500; 96; 64; relu; relu; softmax', 0.72740906)
('20; 250; 80; 64; relu; relu; softmax', 0.72740906)
('20; 250; 64; 64; relu; sigmoid; softmax', 0.72730905)
('20; 750; 112; 64; relu; sigmoid; softmax', 0.7272091)
('20; 1000; 80; 64; relu; relu; softmax', 0.7272091)
('20; 500; 128; 64; relu; relu; softmax', 0.72660935)
('30; 750; 128; 64; sigmoid; sigmoid; sigmoid', 0.7263095)
('20; 750; 128; 48; relu; relu; softmax', 0.7263095)
('30; 1000; 80; 48; sigmoid; relu; sigmoid', 0.7262095)
('30; 750; 96; 48; sigmoid; sigmoid; softmax', 0.7260096)
('30; 1000; 112; 64; sigmoid; relu; sigmoid', 0.7258097)
('30; 500; 96; 64; sigmoid; relu; sigmoid', 0.72510993)
('20; 1000; 128; 48; sigmoid; relu; sigmoid', 0.72501)
('20; 500; 128; 32; sigmoid; relu; softmax', 0.72501)
('20; 750; 112; 64; sigmoid; sigmoid; softmax', 0.7247101)
('10; 500; 96; 32; relu; relu; softmax', 0.72441024)
('10; 750; 64; 64; sigmoid; relu; softmax', 0.72441024)
('10; 500; 128; 32; sigmoid; relu; softmax', 0.7240104)
('20; 750; 128; 64; sigmoid; relu; softmax', 0.7234106)
('10; 750; 112; 32; sigmoid; relu; softmax', 0.72331065)
('20; 750; 112; 64; sigmoid; relu; softmax', 0.72281086)
('30; 750; 128; 32; relu; relu; softmax', 0.7227109)
('10; 750; 112; 64; relu; sigmoid; softmax', 0.7223111)
('20; 500; 80; 48; sigmoid; sigmoid; softmax', 0.7223111)
('30; 1000; 112; 32; sigmoid; relu; sigmoid', 0.7222111)
('30; 750; 128; 48; relu; relu; softmax', 0.7220112)
('30; 750; 128; 32; sigmoid; relu; softmax', 0.7218113)
('20; 500; 96; 48; sigmoid; sigmoid; softmax', 0.7218113)
('30; 500; 80; 32; relu; relu; softmax', 0.7218113)
('30; 500; 128; 32; relu; relu; softmax', 0.7212115)
('30; 250; 64; 64; relu; sigmoid; softmax', 0.7212115)
('30; 750; 96; 64; relu; relu; softmax', 0.72081167)
('30; 750; 96; 32; sigmoid; sigmoid; softmax', 0.72041184)
('20; 1000; 112; 64; sigmoid; relu; softmax', 0.7194122)
('20; 1000; 112; 64; relu; relu; softmax', 0.71931225)
('20; 750; 64; 32; sigmoid; relu; softmax', 0.7192123)
('30; 500; 80; 16; sigmoid; sigmoid; softmax', 0.7189124)
('20; 250; 64; 32; relu; relu; softmax', 0.71811277)
('30; 750; 64; 48; sigmoid; relu; softmax', 0.7180128)
('20; 1000; 128; 32; sigmoid; sigmoid; softmax', 0.71751297)
('30; 1000; 96; 64; sigmoid; relu; sigmoid', 0.7172131)
('30; 1000; 80; 32; relu; relu; softmax', 0.7172131)
('10; 500; 80; 48; relu; relu; softmax', 0.71711314)
('20; 1000; 128; 32; sigmoid; relu; sigmoid', 0.71681327)
('10; 500; 112; 64; sigmoid; sigmoid; softmax', 0.71681327)
('20; 750; 96; 48; sigmoid; relu; sigmoid', 0.71681327)
('10; 750; 128; 48; sigmoid; relu; softmax', 0.7165134)
('30; 1000; 64; 48; relu; relu; softmax', 0.7163135)
('10; 750; 112; 16; sigmoid; relu; softmax', 0.7160136)
('10; 1000; 128; 48; relu; relu; softmax', 0.7156138)
('20; 1000; 64; 64; sigmoid; relu; sigmoid', 0.7156138)
('30; 500; 128; 48; relu; relu; softmax', 0.71551377)
('20; 1000; 64; 48; sigmoid; relu; sigmoid', 0.7154138)
('30; 1000; 64; 48; relu; sigmoid; softmax', 0.7154138)
('30; 750; 112; 16; sigmoid; relu; softmax', 0.7152139)
('20; 750; 96; 16; sigmoid; relu; sigmoid', 0.7152139)
('20; 750; 112; 32; sigmoid; relu; softmax', 0.714914)
('30; 500; 112; 32; relu; relu; softmax', 0.7142143)
('30; 750; 80; 64; relu; relu; softmax', 0.71411437)
('30; 1000; 128; 32; relu; relu; softmax', 0.7140144)
('20; 750; 128; 48; relu; sigmoid; sigmoid', 0.7127149)
('20; 1000; 112; 48; sigmoid; relu; sigmoid', 0.7127149)
('20; 500; 112; 48; sigmoid; relu; sigmoid', 0.71241504)
('10; 250; 96; 16; sigmoid; relu; softmax', 0.7122151)
('30; 750; 128; 48; sigmoid; sigmoid; sigmoid', 0.71191525)
('10; 500; 112; 16; relu; relu; softmax', 0.71131545)
('10; 500; 96; 32; sigmoid; relu; sigmoid', 0.71111554)
('30; 1000; 112; 48; relu; relu; softmax', 0.71011597)
('10; 500; 112; 32; sigmoid; sigmoid; softmax', 0.70991606)
('30; 250; 64; 32; relu; sigmoid; sigmoid', 0.7098161)
('30; 1000; 112; 48; sigmoid; relu; sigmoid', 0.70951617)
('30; 1000; 128; 48; sigmoid; relu; softmax', 0.7094162)
('20; 500; 80; 48; sigmoid; relu; sigmoid', 0.7094162)
('20; 500; 96; 32; sigmoid; relu; softmax', 0.70931625)
('20; 750; 64; 64; sigmoid; relu; softmax', 0.70931625)
('20; 1000; 80; 48; relu; relu; softmax', 0.7092163)
('30; 1000; 80; 64; sigmoid; relu; sigmoid', 0.7090164)
('30; 500; 64; 48; sigmoid; relu; softmax', 0.7089164)
('30; 750; 112; 48; sigmoid; sigmoid; softmax', 0.70881647)
('10; 750; 112; 48; sigmoid; sigmoid; softmax', 0.7087165)
('20; 750; 128; 64; sigmoid; relu; sigmoid', 0.70861655)
('10; 250; 64; 32; relu; relu; softmax', 0.70861655)
